shape,name,lng,lat
"117.442833,31.87745_117.442729,31.879071_117.4427,31.879933_117.443547,31.879974_117.443564,31.879552_117.443884,31.879555_117.444153,31.879636_117.444155,31.879995_117.444764,31.880015_117.444944,31.877532_117.444495,31.877502_117.443901,31.877386_117.442833,31.87745",万凯·碧桂园,117.443804,31.878655
"117.319597,31.857881_117.320066,31.857725_117.320158,31.857908_117.320535,31.8578_117.319639,31.85581_117.319518,31.855699_117.319242,31.855707_117.318735,31.855804_117.318669,31.85589_117.319597,31.857881",万和·新城广场小区,117.319587,31.856782
"117.254265,31.874126_117.254708,31.874053_117.254716,31.874994_117.254198,31.874982_117.254236,31.874322_117.254265,31.874126",万家华庭,117.254472,31.87455
"117.277524,31.884229_117.277536,31.8837_117.277233,31.883604_117.277185,31.883493_117.277191,31.88334_117.276596,31.88314_117.276214,31.883616_117.276135,31.883603_117.276062,31.883799_117.277524,31.884229",万小店小区,117.276866,31.883695
"117.375237,31.881964_117.375537,31.880778_117.37587,31.879641_117.377329,31.879673_117.377293,31.880872_117.377257,31.882113_117.375235,31.882044_117.375237,31.881964",万成华府,117.376404,31.880934
"117.304078,31.822257_117.303142,31.821231_117.302415,31.821206_117.302388,31.82135_117.302385,31.821511_117.302354,31.82234_117.304067,31.822416_117.304078,31.822257",万振·城市广场,117.30306,31.821879
"117.877612,31.597894_117.877789,31.597478_117.878001,31.597216_117.87824,31.597035_117.878524,31.596919_117.878891,31.596791_117.87872,31.598134_117.878686,31.598206_117.878618,31.598251_117.878469,31.598263_117.877652,31.597958_117.877612,31.597894",万振城市广场,117.878210,31.597611
"117.012551,31.729359_117.013871,31.729683_117.014134,31.729929_117.014187,31.730043_117.014568,31.730143_117.014568,31.730207_117.014842,31.730308_117.014842,31.730394_117.014965,31.730435_117.015073,31.730586_117.015808,31.73091_117.016457,31.732032_117.017149,31.734428_117.014965,31.734898_117.01481,31.734482_117.013951,31.734683_117.013447,31.734806_117.012605,31.734779_117.012219,31.736134_117.01062,31.735691_117.012551,31.729359",万振紫蓬湾(建设中),117.013772,31.732806
"117.307919,31.834952_117.307869,31.834638_117.308833,31.834276_117.309828,31.833984_117.308982,31.832219_117.303299,31.832225_117.3033,31.832601_117.303364,31.832608_117.30337,31.833589_117.301767,31.833591_117.301685,31.833605_117.301616,31.83498_117.301588,31.835572_117.301622,31.835816_117.303631,31.835819_117.304711,31.835757_117.305306,31.835703_117.305776,31.835651_117.307919,31.834952",万振逍遥苑,117.305458,31.833958
"117.32327,31.862749_117.323141,31.862233_117.323411,31.86216_117.323726,31.862088_117.323753,31.862177_117.324085,31.8621_117.324101,31.862174_117.324179,31.862586_117.32327,31.862749",万泰花园(铜陵路),117.323656,31.862409
"117.165246,31.727166_117.163397,31.725604_117.162708,31.727321_117.163583,31.727957_117.165246,31.727166",万派城,117.163802,31.726926
"117.215532,31.847957_117.216491,31.847846_117.216395,31.847417_117.215459,31.847516_117.215532,31.847957",万盛苑,117.215968,31.847685
"117.341343,31.872112_117.341435,31.872316_117.341465,31.872472_117.341524,31.872667_117.341574,31.87317_117.343038,31.87313_117.342941,31.872214_117.344021,31.872117_117.343958,31.871701_117.343647,31.871816_117.343211,31.871872_117.342966,31.871886_117.34293,31.871831_117.342892,31.871638_117.342666,31.871216_117.342627,31.871211_117.342199,31.871498_117.341343,31.872112",万福家园,117.342433,31.872297
"117.247719,31.876592_117.249763,31.876642_117.249725,31.876838_117.249296,31.877564_117.248875,31.878012_117.248438,31.878391_117.246047,31.879933_117.245871,31.879767_117.245732,31.879879_117.245571,31.879937_117.244918,31.879203_117.244853,31.879197_117.244634,31.878931_117.244305,31.878949_117.242529,31.876867_117.242279,31.876159_117.242075,31.875562_117.242049,31.875417_117.242081,31.875303_117.242156,31.875257_117.242255,31.875225_117.242392,31.875234_117.245026,31.877038_117.245205,31.877038_117.245508,31.877152_117.245785,31.877196_117.246222,31.877139_117.246683,31.876906_117.246737,31.876915_117.246943,31.877016_117.247719,31.876592",万科城市之光,117.245796,31.877713
