address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
长江金源水岸,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19091114310100107174.html,低楼层(共30层)2室2厅|107平米|南,低楼层(共30层,南,75.0,107.0,2室2厅,0,长江金源水岸 2室2厅 南,0,0.7009346
九韵国际,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19081114310100107880.html,中楼层(共17层)|2010年建|2室2厅|95平米|南,中楼层(共17层),南,58.0,95.0,2室2厅,0,九韵国际 2室2厅 南,2010,0.6105263
大成坊三村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19061414310100100960.html,高楼层(共6层)|1998年建|2室2厅|64.28平米|南北,高楼层(共6层),南北,19.6,64.28,2室2厅,0,天井街两房装修保养好，总价低，拎包,1998,0.304916
东一城,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19091714310100106951.html,低楼层(共24层)2室2厅|85平米|南,低楼层(共24层,南,40.0,85.0,2室2厅,0,东一城小区环境又好离公交汽车站近,0,0.47058824
正元香槟城,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19071914310100103768.html,中楼层(共6层)|2012年建|3室2厅|125平米|南,中楼层(共6层),南,100.0,125.0,3室2厅,0,正元香槟城 精装三房 房东诚心出售,2012,0.8
翡翠豪庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19061914310100101660.html,低楼层(共18层)|2012年建|2室1厅|76平米|南,低楼层(共18层),南,45.0,76.0,2室1厅,0,翡翠豪庭，满五唯一，毛坯两房。,2012,0.59210527
金汇香郡,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19040714310100103566.html,中楼层(共6层)|2016年建|3室2厅|128.55平米|南,中楼层(共6层),南,70.0,128.55,3室2厅,0,金汇香郡 多层四楼 大三房 户型方正 采光无遮挡,2016,0.54453516
香榭美地南区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19080614310100103769.html,中楼层(共5层)|2011年建|3室2厅|124平米|南,中楼层(共5层),南,75.0,124.0,3室2厅,0,香榭美地南区 3室2厅 南,2011,0.6048387
东一城,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19071214310100101450.html,中楼层(共24层)2室1厅|70.52平米|南北,中楼层(共24层,南北,39.0,70.52,2室1厅,0,贝壳真房源东一城大两房诚心出售,0,0.5530346
金汇康郡西区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19080814310100101616.html,中楼层(共17层)|2012年建|2室2厅|103平米|南,中楼层(共17层),南,54.0,103.0,2室2厅,0,毛坯 电梯房 通风好户型 采光 好,2012,0.52427185
大城坊一村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19072014310100105257.html,高楼层(共6层)|2000年建|3室2厅|117平米|西南南,高楼层(共6层),西南南,35.0,117.0,3室2厅,0,大城坊毛坯三房 生活便利 出行方便,2000,0.2991453
金汇香郡,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19092914310100106419.html,中楼层(共6层)3室2厅|130.1平米|南北,中楼层(共6层,南北,75.0,130.1,3室2厅,0,金汇香郡 毛坯大三房 面积大 楼层好 采光炸裂,0,0.5764796
